,location_name,start_time,avg_cars,avg_peds
0,404 S Fairview Mall Ramp / Fairview Mall 404 S Ramp / Fairview Mall Dr,07:30,0.0,0.0
0,404 S Fairview Mall Ramp / Fairview Mall 404 S Ramp / Fairview Mall Dr,07:45,0.0,0.0
0,404 S Fairview Mall Ramp / Fairview Mall 404 S Ramp / Fairview Mall Dr,08:00,0.0,0.0
0,404 S Fairview Mall Ramp / Fairview Mall 404 S Ramp / Fairview Mall Dr,08:15,0.0,0.0
0,404 S Fairview Mall Ramp / Fairview Mall 404 S Ramp / Fairview Mall Dr,08:30,0.0,0.0
0,404 S Fairview Mall Ramp / Fairview Mall 404 S Ramp / Fairview Mall Dr,08:45,0.0,0.0
0,404 S Fairview Mall Ramp / Fairview Mall 404 S Ramp / Fairview Mall Dr,09:00,0.0,0.0
0,404 S Fairview Mall Ramp / Fairview Mall 404 S Ramp / Fairview Mall Dr,09:15,0.5,0.0
0,404 S Fairview Mall Ramp / Fairview Mall 404 S Ramp / Fairview Mall Dr,10:00,0.0,0.0
0,404 S Fairview Mall Ramp / Fairview Mall 404 S Ramp / Fairview Mall Dr,10:15,0.0,0.0
0,404 S Fairview Mall Ramp / Fairview Mall 404 S Ramp / Fairview Mall Dr,10:30,0.5,0.0
0,404 S Fairview Mall Ramp / Fairview Mall 404 S Ramp / Fairview Mall Dr,10:45,0.0,0.0
0,404 S Fairview Mall Ramp / Fairview Mall 404 S Ramp / Fairview Mall Dr,11:00,1.0,0.0
0,404 S Fairview Mall Ramp / Fairview Mall 404 S Ramp / Fairview Mall Dr,11:15,0.5,0.0
0,404 S Fairview Mall Ramp / Fairview Mall 404 S Ramp / Fairview Mall Dr,11:30,0.5,0.0
0,404 S Fairview Mall Ramp / Fairview Mall 404 S Ramp / Fairview Mall Dr,11:45,0.0,0.0
0,404 S Fairview Mall Ramp / Fairview Mall 404 S Ramp / Fairview Mall Dr,13:00,0.5,0.0
0,404 S Fairview Mall Ramp / Fairview Mall 404 S Ramp / Fairview Mall Dr,13:15,1.5,0.0
0,404 S Fairview Mall Ramp / Fairview Mall 404 S Ramp / Fairview Mall Dr,13:30,0.5,0.0
0,404 S Fairview Mall Ramp / Fairview Mall 404 S Ramp / Fairview Mall Dr,13:45,0.0,0.0
0,404 S Fairview Mall Ramp / Fairview Mall 404 S Ramp / Fairview Mall Dr,14:00,1.0,0.0
0,404 S Fairview Mall Ramp / Fairview Mall 404 S Ramp / Fairview Mall Dr,14:15,1.0,0.0
0,404 S Fairview Mall Ramp / Fairview Mall 404 S Ramp / Fairview Mall Dr,14:30,0.0,0.0
0,404 S Fairview Mall Ramp / Fairview Mall 404 S Ramp / Fairview Mall Dr,14:45,0.0,0.0
0,404 S Fairview Mall Ramp / Fairview Mall 404 S Ramp / Fairview Mall Dr,16:00,0.5,0.0
0,404 S Fairview Mall Ramp / Fairview Mall 404 S Ramp / Fairview Mall Dr,16:15,0.0,0.0
0,404 S Fairview Mall Ramp / Fairview Mall 404 S Ramp / Fairview Mall Dr,16:30,1.0,0.0
0,404 S Fairview Mall Ramp / Fairview Mall 404 S Ramp / Fairview Mall Dr,16:45,0.0,0.0
0,404 S Fairview Mall Ramp / Fairview Mall 404 S Ramp / Fairview Mall Dr,17:00,0.5,0.0
0,404 S Fairview Mall Ramp / Fairview Mall 404 S Ramp / Fairview Mall Dr,17:15,0.0,0.0
0,404 S Fairview Mall Ramp / Fairview Mall 404 S Ramp / Fairview Mall Dr,17:30,0.0,0.0
0,404 S Fairview Mall Ramp / Fairview Mall 404 S Ramp / Fairview Mall Dr,17:45,0.5,0.0
0,Abell St / Sudbury St,07:30,5.0,5.0
0,Abell St / Sudbury St,07:45,4.0,15.0
0,Abell St / Sudbury St,08:00,4.0,9.0
0,Abell St / Sudbury St,08:15,7.0,13.0
0,Abell St / Sudbury St,08:30,6.0,14.0
0,Abell St / Sudbury St,08:45,4.0,15.0
0,Abell St / Sudbury St,09:00,13.0,16.0
0,Abell St / Sudbury St,09:15,3.0,8.0
0,Abell St / Sudbury St,10:00,9.0,15.0
0,Abell St / Sudbury St,10:15,11.0,6.0
0,Abell St / Sudbury St,10:30,1.0,6.0
